model,adj_r2,significant_vars,formula
weather_to_Severity_Temperature(F)_weather_neutral_weather_bad,0.0011231243552149994,6,"Severity ~ (Q(""Temperature(F)"") + weather_neutral + weather_bad)**2"
weather_to_Severity_Temperature(F)_weather_neutral_weather_unknown,0.0006599674923721821,5,"Severity ~ (Q(""Temperature(F)"") + weather_neutral + weather_unknown)**2"
weather_to_Severity_Temperature(F)_weather_unknown_WindChill(F),0.0059892710359080725,6,"Severity ~ (Q(""Temperature(F)"") + weather_unknown + Q(""WindChill(F)""))**2"
weather_to_Severity_Temperature(F)_weather_unknown_Humidity(%),0.005910810965663149,7,"Severity ~ (Q(""Temperature(F)"") + weather_unknown + Q(""Humidity(%)""))**2"
weather_to_Severity_Temperature(F)_weather_unknown_Pressure(in),0.00096654263685092,5,"Severity ~ (Q(""Temperature(F)"") + weather_unknown + Q(""Pressure(in)""))**2"
weather_to_Severity_Temperature(F)_weather_unknown_WindSpeed(mph),0.0008591170525478198,6,"Severity ~ (Q(""Temperature(F)"") + weather_unknown + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_Temperature(F)_weather_unknown_Precipitation(in),0.0005747746753133054,4,"Severity ~ (Q(""Temperature(F)"") + weather_unknown + Q(""Precipitation(in)""))**2"
weather_to_Severity_Temperature(F)_weather_unknown_weather_good,0.0014382967892317966,6,"Severity ~ (Q(""Temperature(F)"") + weather_unknown + weather_good)**2"
weather_to_Severity_Temperature(F)_weather_unknown_weather_bad,0.0013126810918145937,7,"Severity ~ (Q(""Temperature(F)"") + weather_unknown + weather_bad)**2"
weather_to_Severity_Temperature(F)_weather_unknown_weather_neutral,0.0006599674923720711,5,"Severity ~ (Q(""Temperature(F)"") + weather_unknown + weather_neutral)**2"
weather_to_Severity_WindChill(F)_Temperature(F)_Humidity(%),0.010725884674200326,6,"Severity ~ (Q(""WindChill(F)"") + Q(""Temperature(F)"") + Q(""Humidity(%)""))**2"
weather_to_Severity_WindChill(F)_Temperature(F)_Pressure(in),0.011402686080531743,7,"Severity ~ (Q(""WindChill(F)"") + Q(""Temperature(F)"") + Q(""Pressure(in)""))**2"
weather_to_Severity_WindChill(F)_Temperature(F)_WindSpeed(mph),0.006905240546139724,6,"Severity ~ (Q(""WindChill(F)"") + Q(""Temperature(F)"") + Q(""WindSpeed(mph)""))**2"
